!  
! R    D    M    P
2000
0.01 9608479967.616772 1.4789769339215908e-08 -24667730017.18795
0.01006935148416371 9542254094.130928 840.2771361518526 -24667729728.820774
0.010139183931162992 9476484343.957159 1692.2452265737259 -24667728863.710087
0.01020950067654649 9411167575.601637 2556.066899408091 -24667727421.817562
0.010280305078995381 9346300669.207205 3431.9070443957485 -24667725403.077343
0.010351600520483787 9281880526.404413 4319.932844328532 -24667722807.396084
0.010423390406440325 9217904070.163445 5220.31380692418 -24667719634.652916
0.010495678165910766 9154368244.6472 6133.221797143859 -24667715884.69945
0.010568467251721822 9091270015.065327 7058.831069958707 -24667711557.35978
0.010641761140646069 9028606367.529238 7997.318303571427 -24667706652.430435
0.01071556333356802 8966374308.908175 8948.862633099538 -24667701169.68044
0.010789877355651336 8904570866.686234 9913.645684726323 -24667695108.851242
0.01086470675650722 8843193088.820398 10891.851610326357 -24667688469.656727
0.01094005511036394 8782238043.599497 11883.6671225717 -24667681251.783215
0.011015926016237593 8721702819.50421 12889.281530526307 -24667673454.8894
0.011092323098103964 8661584525.06798 13908.886775733947 -24667665078.60641
0.011169250005071654 8601880288.738907 14942.677468808228 -24667656122.53772
0.01124671041155638 8542587258.742581 15990.850926530467 -24667646586.259167
0.011324708017456468 8483702602.945886 17053.607209462723 -24667636469.318928
0.011403246548329594 8425223508.721699 18131.149160083536 -24667625771.237495
0.01148232975557073 8367147182.814556 19223.682441453173 -24667614491.507652
0.011561961416591326 8309470851.20724 20331.415576415842 -24667602629.59445
0.011642145334999743 8252191758.988267 21454.559987346496 -24667590184.935192
0.011722885340782927 8195307170.220307 22593.330036449566 -24667577156.939404
0.011804185290489357 8138814367.809484 23747.94306661748 -24667563544.98878
0.011886049067413244 8082710653.375628 24918.619442856474 -24667549348.437206
0.011968480581780024 8026993347.123351 26105.582594287833 -24667534566.61069
0.012051483770933123 7971659787.71407 27309.05905673242 -24667519198.807335
0.01213506259952203 7916707332.138873 28529.27851588652 -24667503244.29732
0.012219221059691669 7862133355.592283 29766.473851097424 -24667486702.322853
0.012303963171273077 7807935251.3468895 31020.88117974666 -24667469572.09815
0.012389292981975417 7754110430.628833 32292.73990224987 -24667451852.809376
0.012475214567579322 7700656322.494143 33582.292747681444 -24667433543.61464
0.012561732032131557 7647570373.705954 34889.7858200325 -24667414643.643917
0.012648849508141071 7594850048.612529 36215.468645111745 -24667395151.999035
